Company code,Name,Year,Months,AR Format,Priority Sector - NPA as a % of total advances in that sector,Agriculture & Allied activities - Priority Sector NPA %,"Industry (Micro, Small, Medium and Large) - Priority Sector NPA %",Services - Priority Sector NPA %,Personal Loans - Priority Sector NPA %,Other - Priority Sector NPA %,Non-Priority Sector - NPA as a % of total advances in that sector,Agriculture & Allied activities - Non-Priority Sector NPA %,"Industry (Micro, Small, Medium and Large) - Non-Priority Sector NPA %",Services - Non-Priority Sector NPA %,Personal Loans - Non-Priority Sector NPA %,Other - Non-Priority Sector NPA %,Total - Sector-wise NPA as a % of total advances in that sector,Agriculture & Allied activities - Total NPA %,"Industry (Micro, Small, Medium and Large) - Total NPA %",Services - Total NPA %,Personal Loans - Total NPA %,Other sector - Total NPA %,Priority Sector - Gross NPAs,Agriculture & Allied activities -  Priority Sector Gross NPAs,"Industry (Micro, Small, Medium and Large) -  Priority Sector Gross NPAs",Services -  Priority Sector Gross NPAs,Personal Loans -  Priority Sector Gross NPAs,Other -  Priority Sector Gross NPAs,Non-Priority Sector - Gross NPAs,Agriculture & Allied activities -  Non-Priority Sector Gross NPAs,"Industry (Micro, Small, Medium and Large) -  Non-Priority Sector Gross NPAs",Services -  Non-Priority Sector Gross NPAs,Personal Loans -  Non-Priority Sector Gross NPAs,Other -  Non-Priority Sector Gross NPAs,Total - Sector Wise Gross NPAs,Agriculture & Allied activities -  Total Gross NPAs,"Industry (Micro, Small, Medium and Large) -  Total Gross NPAs",Services -  Total Gross NPAs,Personal Loans -  Total Gross NPAs,Other sector -  Total Gross NPAs,Priority Sector - Total Outstanding (o/s) Advances,Agriculture & Allied activities -  Priority Sector Total o/s Advances,"Industry (Micro, Small, Medium and Large) -  Priority Sector Total o/s Advances",Services -  Priority Sector Total o/s Advances,Personal Loans -  Priority Sector Total o/s Advances,Other -  Priority Sector Total o/s Advances,Non-Priority Sector - Outstanding (o/s) Total Advances,Agriculture & Allied activities -  Non - Priority Sector Total (o/s) Advances,"Industry (Micro, Small, Medium and Large) -  Non - Priority Sector Total (o/s) Advances",Services -  Non - Priority Sector Total (o/s) Advances,Personal Loans -  Non - Priority Sector Total (o/s) Advances,Other -  Non - Priority Sector Total (o/s) Advances,Total - Sector Wise Outstanding (o/s) Advances,Agriculture & Allied activities -  Total o/s Advances,"Industry (Micro, Small, Medium and Large) -  Total o/s Advances",Services -  Total o/s Advances,Personal Loans -  Total o/s Advances,Other sector -  Total o/s Advances
,,2018,March,,8.7,11.1,7.7,6.2,2.2,10.4,5.1,6.8,4.5,3.7,1.8,9,7.4,9.8,6.1,4.9,2,9.8,1337225,250575,638200,277850,29775,140825,2103350,86100,945825,462850,61875,546700,3440575,336675,1584025,740700,91650,687525,15415000,2258825,8286750,4478425,1353775,1163225,41307225,1266975,20999975,10944375,3437375,4658525,56722225,3525800,29286725,15422800,4791150,5740775
,,2018,June,,12.74,12.82,12,8.54,2.79,16.15,12.37,13.17,11,12.23,10.8,12.63,12.57,12.82,12,8.54,2.79,12.37,141012,66262,57529,16677,544,1753,413147,93831,170447,60059,37211,51599,554159,160093,227976,76736,37755,53352,1106603,517024,479396,195053,19479,24651,3340504,206216,1189870,322221,232856,1359341,44447107,723240,1669266,517274,252335,2284992
,,2018,September,,11.29,9.49,19.2,8.45,2.68,,3.91,9.71,13.77,5.33,2.42,,6.93,9.59,17.89,5.14,2.59,,183064,76015,83022,23509,518,,287982,1270,165996,70613,50103,,471046,77285,249018,94122,50621,,1620203,801088,432353,278174,8589,99999,7368336,13081,1205936,1324306,2071211,2752802,8988539,814169,1638289,1602480,2080800,2852802
,,2018,December,,7.38,8.7,13.4,7.5,3.2,4.1,4.6,4.5,6.7,5.4,2.8,3.6,10.02,9.1,21.1,8.8,1.9,9.2,347600,69700,221000,40200,15100,1600,706300,8400,619100,56400,20600,1800,1053900,78100,840100,96600,35700,3400,1218000,500300,420400,289600,7600,100,4018500,47500,2338400,629800,992300,10500,5236600,547800,27588000,919400,1000000,10600
,,2019,March,,,,,,,,,,,,,,,,16.7,,,,,,,,,,,,,,,,,,12199500,,,,,,,,,,,,,,,,111100000,,73050000,,,
,,2019,June,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,10256000,,,,,,,,,,,,,,,,116700000,,65520000,,,
,,2019,October,,,,,,,,,,,,,,,,16.1,,,,,,,,,,,,,,,,,,10271000,,,,,,,,,,,,,,,,,,63800000,,,
,,2020,January,,,,,,,,,,,,,,,,16.8,,,,,,,,,,,,,,,,,,10920000,,,,,,,,,,,,,,,,78370000,,65000000,,,
,,2020,April,,,,,,,,,,,,,,,,17.4,,,,,,,,,,,,,,,,,,11214300,,,,,,,,,,,,,,,,,,64450000,,,
,,2020,October,,,,,,,,,,,,,,,,16.1,,,,,,,,,,,,,,,,,,10791830,,,,,,,,,,,,,,,,,,67030000,,,
